subtype_id,subtype_label,pathway,mean_score,overall_mean,fold_change,effect_size,p_value,q_value,significant
1,subtype_1,HALLMARK_HEME_METABOLISM,-0.2922,0.0,-845766090366134.4,-0.4396,0.0,0.0,True
1,subtype_1,HALLMARK_CHOLESTEROL_HOMEOSTASIS,0.2865,-0.0,-1154999490666268.8,0.4306,0.0,0.0,True
1,subtype_1,HALLMARK_MYOGENESIS,-0.2788,-0.0,2.098179476129631e+16,-0.4186,0.0,0.0,True
1,subtype_1,HALLMARK_XENOBIOTIC_METABOLISM,0.264,0.0,342515532762014.6,0.3956,0.0,0.0,True
1,subtype_1,HALLMARK_OXIDATIVE_PHOSPHORYLATION,0.2633,0.0,371493442589863.25,0.3945,0.0,0.0,True
1,subtype_1,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY,0.2587,0.0,583965642247140.8,0.3873,0.0,0.0,True
1,subtype_1,HALLMARK_APOPTOSIS,-0.2316,-0.0,197296783719309.75,-0.3457,0.0,0.0,True
1,subtype_1,HALLMARK_APICAL_JUNCTION,-0.224,-0.0,3160656818172561.5,-0.3341,0.0,0.0,True
1,subtype_1,HALLMARK_UV_RESPONSE_UP,-0.2199,0.0,-253212960849849.47,-0.3277,0.0,0.0,True
1,subtype_1,HALLMARK_COMPLEMENT,0.2119,0.0,112020856951799.98,0.3156,0.0,0.0,True
1,subtype_1,HALLMARK_HEDGEHOG_SIGNALING,0.2015,-0.0,-2934625971836843.5,0.2998,0.0,0.0,True
1,subtype_1,HALLMARK_HYPOXIA,0.1876,-0.0,-651478551383829.8,0.2787,0.0,0.0,True
1,subtype_1,HALLMARK_MITOTIC_SPINDLE,0.167,0.0,2692900934985008.0,0.2477,0.0,0.0,True
1,subtype_1,HALLMARK_P53_PATHWAY,0.164,-0.0,-468677139736067.1,0.2432,0.0,0.0,True
1,subtype_1,HALLMARK_ANGIOGENESIS,0.1475,0.0,361965492445576.3,0.2185,0.0,0.0,True
1,subtype_1,HALLMARK_G2M_CHECKPOINT,-0.1351,-0.0,9757599821827490.0,-0.1999,0.0,0.0,True
1,subtype_1,HALLMARK_COAGULATION,0.13,-0.0,-2445166295154795.5,0.1923,0.0,0.0,True
1,subtype_1,HALLMARK_PANCREAS_BETA_CELLS,0.1261,0.0,605797726085696.5,0.1865,0.0,0.0,True
1,subtype_1,HALLMARK_UNFOLDED_PROTEIN_RESPONSE,-0.1011,0.0,-608422644678246.4,-0.1493,0.0,0.0,True
1,subtype_1,HALLMARK_MYC_TARGETS_V1,-0.0808,0.0,-75416057506840.69,-0.1193,0.0,0.0,True
1,subtype_1,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0736,0.0,1385069148836616.0,0.1086,0.0,0.0,True
1,subtype_1,HALLMARK_NOTCH_SIGNALING,-0.0683,-0.0,1762286515810722.8,-0.1008,0.0,0.0,True
1,subtype_1,HALLMARK_IL2_STAT5_SIGNALING,0.0659,-0.0,-212617453285767.9,0.0972,0.565742,0.565742,False
1,subtype_1,HALLMARK_E2F_TARGETS,-0.0642,0.0,,-0.0947,0.0,0.0,True
1,subtype_1,HALLMARK_TNFA_SIGNALING_VIA_NFKB,-0.0584,0.0,-69436875299681.33,-0.0861,0.0,0.0,True
1,subtype_1,HALLMARK_KRAS_SIGNALING_UP,-0.0405,-0.0,96210500061978.1,-0.0597,0.0,0.0,True
1,subtype_1,HALLMARK_INFLAMMATORY_RESPONSE,0.0326,-0.0,-86652778668254.4,0.0481,0.0,0.0,True
1,subtype_1,HALLMARK_ESTROGEN_RESPONSE_LATE,-0.0214,-0.0,49995122443597.016,-0.0315,0.0,0.0,True
1,subtype_1,HALLMARK_SPERMATOGENESIS,-0.0118,0.0,-30653085136626.84,-0.0174,0.0,0.0,True
